operational_stop_no,stop_place_id,stop_name,municipality,lat,lon,source_families,source_native_ids,known_routes,existence_confidence,service_class,notes
11,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,Arlate - B.vio Brivio - Madonnina,Calco,45.73265,9.42205,ASF_OPERATOR_OTP,CALCOA09,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
12,ASF::ARLATE_BIVIO_PER_IL_PAESE,Arlate - Bivio per il Paese,Calco,45.723445,9.44397,ASF_OPERATOR_OTP,CALCOA07|CALCOR07,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
13,ASF::ARLATE_CANTINA_PIROVANO,Arlate - Cantina Pirovano,Calco,45.727265,9.4369,ASF_OPERATOR_OTP,CALCOA08|CALCOR08,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
14,ASF::CALCO_LARGO_POMEA,Calco - Via Nazionale (edicola),Calco,45.723905,9.41522,ASF_OPERATOR_OTP,CALCOA06|CALCOR06,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
15,MANUAL::CALCO_SCAGNELLO,Calco - Via Statale / Via Scagnello (Esselunga),Calco,45.7168683,9.4081664,GOOGLE_MAPS_MANUAL|ASF_C146_OBSERVED,CALCOA04|CALCOR04,C146,HIGH_MANUAL_CURRENT,CONVENTIONAL_TPL,One stop place; opposite directions intentionally collapsed.
16,ASF::CALCO_VIA_GARIBALDI,Calco - Via Virgilio,Calco,45.725005,9.410035,ASF_OPERATOR_OTP,CALCOA05|CALCOR05,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
17,FROZEN::300743,Calco - arlate (cimitero),Calco,45.72377,9.44097,FROZEN_GTFS_REFERENCE,300743,D170,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
18,FROZEN::300634,Calco - via Nazionale,Calco,45.7296,9.417783,FROZEN_GTFS_REFERENCE,300634,D185,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
19,ASF::IMBERSAGO_LOCALITA_CAZZULINO,Imbersago - Località Cazzulino,Calco,45.71871,9.44475,ASF_OPERATOR_OTP,IMBERA07|IMBERR07,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
20,FROZEN::300886,Imbersago - arlate (fiorista),Calco,45.718383,9.4446165,FROZEN_GTFS_REFERENCE,300886|L00886,D150|D170,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
21,ASF::PEREGO_VIA_STATALE_79,Perego - Statale / Via S. Caterina,La Valletta Brianza,45.738585,9.362575,ASF_OPERATOR_OTP,PERE_A01|PERE_R01,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
22,ASF::ROVAGNATE_STRADA_STATALE_AGIP,Rovagnate - Statale / AGIP,La Valletta Brianza,45.73721,9.37441,ASF_OPERATOR_OTP,ROVAGA03|ROVAGR03,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
23,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,Rovagnate - Statale / Via Lombardia,La Valletta Brianza,45.737175,9.36985,ASF_OPERATOR_OTP,ROVAGA01|ROVAGR01,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
24,FROZEN::300879,Rovagnate - vinicola ghezzi,La Valletta Brianza,45.73975,9.3646835,FROZEN_GTFS_REFERENCE,300879|L00879,D160|D184,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
25,FROZEN::300956,Calco - via nazionale (peugeot),Olgiate Molgora,45.73635,9.41949,FROZEN_GTFS_REFERENCE,300956|L00956,D148|D150|D185,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
26,SPECIAL::CASA_DI_COMUNITA_OLGIATE,Casa di Comunità Olgiate Molgora,Olgiate Molgora,45.7221313,9.3979736,SPECIAL_SERVICE_EVIDENCE,NAVETTA_MANDIC_MANZONI::001,NAVETTA_MANDIC_MANZONI,HIGH_CURRENT_SPECIAL_SERVICE,SPECIAL_SERVICE,Kept separate from ordinary TPL stops.
27,FROZEN::L00407,Olgiate Molgora (stazione f.s.),Olgiate Molgora,45.72917,9.40441,FROZEN_GTFS_REFERENCE,L00407,D184|D185,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
28,ASF::OLGIATE_MOLGORA_SCARPONE,Olgiate Molgora - Scarpone,Olgiate Molgora,45.731355,9.390005,ASF_OPERATOR_OTP,OLGMOA05|OLGMOR05,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
29,ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,Olgiate Molgora - Via Della Salute,Olgiate Molgora,45.731735,9.390855,ASF_OPERATOR_OTP,OLGMOA06|OLGMOR06,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
30,ASF::OLGIATE_MOLGORA_VIA_STATALE,Olgiate Molgora - Via Statale,Olgiate Molgora,45.728675,9.400495,ASF_OPERATOR_OTP,OLGMOA04|OLGMOR04,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
31,FROZEN::300873,Hoe',Santa Maria Hoè,45.7486335,9.367867,FROZEN_GTFS_REFERENCE,300873|L00873,D184,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
32,ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,S. Maria Hoè - S.P. 58 ang. Via Cenisio,Santa Maria Hoè,45.738165,9.38793,ASF_OPERATOR_OTP,SAMAHA03|SAMAHR03,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
33,FROZEN::300782,S.Maria Hoe',Santa Maria Hoè,45.744308,9.3737,FROZEN_GTFS_REFERENCE,300782|L00782,D184,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
34,FROZEN::300805,S.Maria Hoe' - tremonte,Santa Maria Hoè,45.7428,9.37837,FROZEN_GTFS_REFERENCE,300805,D184,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
35,FROZEN::L00904,S.Maria Hoe' - tremonte/ via trento,Santa Maria Hoè,45.7426,9.3784,FROZEN_GTFS_REFERENCE,L00904,D184,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
36,ASF::ROVAGNATE_FRAZIONE_ALDUNO,Santa Maria Hoè - Alduno,Santa Maria Hoè,45.73485,9.38243,ASF_OPERATOR_OTP,ROVAGA04|ROVAGAR4,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
37,ASF::SANTA_MARIA_HOE_VIA_COMO,Santa Maria Hoè - Via Como / Alpino,Santa Maria Hoè,45.74366,9.37463,ASF_OPERATOR_OTP,SAMAHA01|SAMAHR01,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
38,ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,Santa Maria Hoè - Via Giovanni XXIII / Tremonte-Via Leopardi,Santa Maria Hoè,45.74118,9.380605,ASF_OPERATOR_OTP,SAMAHA04|SAMAHR04,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
