asf_source_record,asf_code,asf_name,physical_municipality_exact,candidate_rank,frozen_source_record,frozen_native_id,frozen_name,distance_m,name_similarity,candidate_review_class,identity_decision
ASF_OTP::CALCOA06,CALCOA06,Calco - Largo Pomea,Calco,3,FROZEN_GTFS::300397,300397,Calco - via virgilio,114.7,0.5714,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR06,CALCOR06,Calco - Largo Pomea,Calco,1,FROZEN_GTFS::L00089,L00089,Calco - via statale (edicola),7.37,0.381,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR06,CALCOR06,Calco - Largo Pomea,Calco,2,FROZEN_GTFS::300089,300089,Calco - via statale (edicola),9.89,0.381,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR06,CALCOR06,Calco - Largo Pomea,Calco,3,FROZEN_GTFS::300397,300397,Calco - via virgilio,121.53,0.5714,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA07,CALCOA07,Arlate - Bivio per il Paese,Calco,1,FROZEN_GTFS::300528,300528,Calco - arlate - (provinciale),6.68,0.4082,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA07,CALCOA07,Arlate - Bivio per il Paese,Calco,2,FROZEN_GTFS::L00528,L00528,Calco- arlate - (provinciale),12.79,0.4082,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA07,CALCOA07,Arlate - Bivio per il Paese,Calco,3,FROZEN_GTFS::300743,300743,Calco - arlate (cimitero),235.76,0.4783,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR07,CALCOR07,Arlate - Bivio per il Paese,Calco,1,FROZEN_GTFS::300528,300528,Calco - arlate - (provinciale),5.56,0.4082,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR07,CALCOR07,Arlate - Bivio per il Paese,Calco,2,FROZEN_GTFS::L00528,L00528,Calco- arlate - (provinciale),11.91,0.4082,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR07,CALCOR07,Arlate - Bivio per il Paese,Calco,3,FROZEN_GTFS::300743,300743,Calco - arlate (cimitero),235.58,0.4783,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA08,CALCOA08,Arlate - Cantina Pirovano,Calco,1,FROZEN_GTFS::300743,300743,Calco - arlate (cimitero),499.92,0.5,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA09,CALCOA09,Arlate - B.vio Brivio - Madonnina,Calco,1,FROZEN_GTFS::300634,300634,Calco - via Nazionale,474.03,0.4167,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::IMBERA07,IMBERA07,Imbersago - Località Cazzulino,Calco,1,FROZEN_GTFS::300886,300886,Imbersago - arlate (fiorista),27.8,0.566,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::IMBERA07,IMBERA07,Imbersago - Località Cazzulino,Calco,2,FROZEN_GTFS::L00886,L00886,Imbersago - arlate (fiorista),48.34,0.566,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::IMBERR07,IMBERR07,Imbersago - Località Cazzulino,Calco,1,FROZEN_GTFS::300886,300886,Imbersago - arlate (fiorista),27.8,0.566,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::IMBERR07,IMBERR07,Imbersago - Località Cazzulino,Calco,2,FROZEN_GTFS::L00886,L00886,Imbersago - arlate (fiorista),48.34,0.566,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIA05,BRIVIA05,Beverate - Cartello Paese,Brivio,1,FROZEN_GTFS::300487,300487,Brivio - beverate (tre strade),75.12,0.449,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIA05,BRIVIA05,Beverate - Cartello Paese,Brivio,2,FROZEN_GTFS::L00487,L00487,Brivio - beverate (quattro strade),89.53,0.566,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIA05,BRIVIA05,Beverate - Cartello Paese,Brivio,3,FROZEN_GTFS::100005,100005,Brivio - s.s. briantea,305.4,0.3415,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR05,BRIVIR05,Beverate - Cartello Paese,Brivio,1,FROZEN_GTFS::300487,300487,Brivio - beverate (tre strade),79.83,0.449,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR05,BRIVIR05,Beverate - Cartello Paese,Brivio,2,FROZEN_GTFS::L00487,L00487,Brivio - beverate (quattro strade),94.24,0.566,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR05,BRIVIR05,Beverate - Cartello Paese,Brivio,3,FROZEN_GTFS::100005,100005,Brivio - s.s. briantea,304.94,0.3415,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIA04,BRIVIA04,Vaccarezza - Cartello Paese,Brivio,1,FROZEN_GTFS::300087,300087,Brivio - vaccarezza,18.22,0.4762,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIA04,BRIVIA04,Vaccarezza - Cartello Paese,Brivio,2,FROZEN_GTFS::L00087,L00087,Brivio - vaccarezza,38.7,0.4762,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR04,BRIVIR04,Vaccarezza - Cartello Paese,Brivio,1,FROZEN_GTFS::L00087,L00087,Brivio - vaccarezza,3.96,0.4762,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR04,BRIVIR04,Vaccarezza - Cartello Paese,Brivio,2,FROZEN_GTFS::300087,300087,Brivio - vaccarezza,18.54,0.4762,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIA03,BRIVIA03,Brivio - Bar Cristallo,Brivio,1,FROZEN_GTFS::300406,300406,Brivio - via como (pizzeria),8.81,0.5909,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIA03,BRIVIA03,Brivio - Bar Cristallo,Brivio,2,FROZEN_GTFS::L00406,L00406,Brivio - via como (pizzeria),18.0,0.5909,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR03,BRIVIR03,Brivio - Bar Cristallo,Brivio,1,FROZEN_GTFS::L00406,L00406,Brivio - via como (pizzeria),12.45,0.5909,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR03,BRIVIR03,Brivio - Bar Cristallo,Brivio,2,FROZEN_GTFS::300406,300406,Brivio - via como (pizzeria),15.33,0.5909,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR06,BRIVIR06,Brivio - Via Como - Pensilina,Brivio,1,FROZEN_GTFS::L00063,L00063,Brivio - capolinea,7.25,0.6341,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::BRIVIR06,BRIVIR06,Brivio - Via Como - Pensilina,Brivio,2,FROZEN_GTFS::300063,300063,Brivio - capolinea,119.76,0.6341,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA01,ROVAGA01,Rovagnate-S.S- Ang. V. Lombardia,La Valletta Brianza,1,FROZEN_GTFS::L00878,L00878,Rovagnate - semaforo,11.07,0.5957,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA01,ROVAGA01,Rovagnate-S.S- Ang. V. Lombardia,La Valletta Brianza,2,FROZEN_GTFS::300878,300878,Rovagnate - semaforo,75.09,0.5957,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA01,ROVAGA01,Rovagnate-S.S- Ang. V. Lombardia,La Valletta Brianza,3,FROZEN_GTFS::300804,300804,Rovagnate - la pesa,323.46,0.5217,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGR01,ROVAGR01,Rovagnate - S.S. - Ang. V. Lombardia,La Valletta Brianza,1,FROZEN_GTFS::300878,300878,Rovagnate - semaforo,2.68,0.6087,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGR01,ROVAGR01,Rovagnate - S.S. - Ang. V. Lombardia,La Valletta Brianza,2,FROZEN_GTFS::L00878,L00878,Rovagnate - semaforo,86.74,0.6087,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGR01,ROVAGR01,Rovagnate - S.S. - Ang. V. Lombardia,La Valletta Brianza,3,FROZEN_GTFS::300804,300804,Rovagnate - la pesa,401.13,0.5333,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA03,ROVAGA03,Rovagnate - Strada Statale - AGIP,La Valletta Brianza,1,FROZEN_GTFS::300804,300804,Rovagnate - la pesa,6.27,0.6087,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA03,ROVAGA03,Rovagnate - Strada Statale - AGIP,La Valletta Brianza,2,FROZEN_GTFS::L00804,L00804,Rovagnate - la pesa,31.6,0.6087,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA03,ROVAGA03,Rovagnate - Strada Statale - AGIP,La Valletta Brianza,3,FROZEN_GTFS::L00878,L00878,Rovagnate - semaforo,310.01,0.5106,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGR03,ROVAGR03,Rovagnate - Strada Statale - AGIP,La Valletta Brianza,1,FROZEN_GTFS::300804,300804,Rovagnate - la pesa,12.97,0.6087,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGR03,ROVAGR03,Rovagnate - Strada Statale - AGIP,La Valletta Brianza,2,FROZEN_GTFS::L00804,L00804,Rovagnate - la pesa,39.36,0.6087,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGR03,ROVAGR03,Rovagnate - Strada Statale - AGIP,La Valletta Brianza,3,FROZEN_GTFS::L00878,L00878,Rovagnate - semaforo,302.25,0.5106,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::PERE_A01,PERE_A01,Perego - Via Statale 79,La Valletta Brianza,1,FROZEN_GTFS::L00872,L00872,Perego - s.s. 342/via s.caterina,25.79,0.6122,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::PERE_A01,PERE_A01,Perego - Via Statale 79,La Valletta Brianza,2,FROZEN_GTFS::300872,300872,Perego - s.s. 342/via s.caterina,26.03,0.6122,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::PERE_A01,PERE_A01,Perego - Via Statale 79,La Valletta Brianza,3,FROZEN_GTFS::300879,300879,Rovagnate - vinicola ghezzi,214.97,0.3043,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::PERE_R01,PERE_R01,Perego - Via Statale 79,La Valletta Brianza,1,FROZEN_GTFS::300872,300872,Perego - s.s. 342/via s.caterina,3.05,0.6122,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::PERE_R01,PERE_R01,Perego - Via Statale 79,La Valletta Brianza,2,FROZEN_GTFS::L00872,L00872,Perego - s.s. 342/via s.caterina,8.5,0.6122,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::PERE_R01,PERE_R01,Perego - Via Statale 79,La Valletta Brianza,3,FROZEN_GTFS::300879,300879,Rovagnate - vinicola ghezzi,200.44,0.3043,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA04,ROVAGA04,Rovagnate - Frazione Alduno,Santa Maria Hoè,1,FROZEN_GTFS::L00871,L00871,S.Maria Hoe' - alduno,12.27,0.4651,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGA04,ROVAGA04,Rovagnate - Frazione Alduno,Santa Maria Hoè,2,FROZEN_GTFS::300871,300871,S.Maria Hoe' - alduno,33.2,0.4651,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGAR4,ROVAGAR4,Rovagnate - Frazione Alduno,Santa Maria Hoè,1,FROZEN_GTFS::300871,300871,S.Maria Hoe' - alduno,15.86,0.4651,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::ROVAGAR4,ROVAGAR4,Rovagnate - Frazione Alduno,Santa Maria Hoè,2,FROZEN_GTFS::L00871,L00871,S.Maria Hoe' - alduno,25.63,0.4651,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA04,SAMAHA04,Santa Maria Hoè - Via Giovanni XXIII,Santa Maria Hoè,1,FROZEN_GTFS::300903,300903,S.Maria Hoe' - tremonte/via leopardi,51.27,0.5075,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA04,SAMAHA04,Santa Maria Hoè - Via Giovanni XXIII,Santa Maria Hoè,2,FROZEN_GTFS::L00904,L00904,S.Maria Hoe' - tremonte/ via trento,214.41,0.5231,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA04,SAMAHA04,Santa Maria Hoè - Via Giovanni XXIII,Santa Maria Hoè,3,FROZEN_GTFS::300805,300805,S.Maria Hoe' - tremonte,232.56,0.5185,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR04,SAMAHR04,Santa Maria Hoè - Via Giovanni XXIII,Santa Maria Hoè,1,FROZEN_GTFS::300903,300903,S.Maria Hoe' - tremonte/via leopardi,4.47,0.5075,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR04,SAMAHR04,Santa Maria Hoè - Via Giovanni XXIII,Santa Maria Hoè,2,FROZEN_GTFS::L00904,L00904,S.Maria Hoe' - tremonte/ via trento,252.15,0.5231,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR04,SAMAHR04,Santa Maria Hoè - Via Giovanni XXIII,Santa Maria Hoè,3,FROZEN_GTFS::300805,300805,S.Maria Hoe' - tremonte,268.53,0.5185,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA01,SAMAHA01,Santa Maria Hoè - Via Como,Santa Maria Hoè,1,FROZEN_GTFS::300902,300902,S.Maria Hoe' - alpino,8.54,0.6667,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA01,SAMAHA01,Santa Maria Hoè - Via Como,Santa Maria Hoè,2,FROZEN_GTFS::L00902,L00902,S.Maria Hoe' - alpino,27.35,0.6667,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA01,SAMAHA01,Santa Maria Hoè - Via Como,Santa Maria Hoè,3,FROZEN_GTFS::300782,300782,S.Maria Hoe',94.77,0.6286,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR01,SAMAHR01,Santa Maria Hoè - Via Como,Santa Maria Hoè,1,FROZEN_GTFS::300902,300902,S.Maria Hoe' - alpino,3.85,0.6667,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR01,SAMAHR01,Santa Maria Hoè - Via Como,Santa Maria Hoè,2,FROZEN_GTFS::L00902,L00902,S.Maria Hoe' - alpino,18.41,0.6667,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR01,SAMAHR01,Santa Maria Hoè - Via Como,Santa Maria Hoè,3,FROZEN_GTFS::300782,300782,S.Maria Hoe',92.83,0.6286,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA03,SAMAHA03,S. Maria Hoè - S.P. 58 ang. Via Cenisio,Santa Maria Hoè,1,FROZEN_GTFS::L00207,L00207,S.Maria Hoe' - paese,7.03,0.56,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHA03,SAMAHA03,S. Maria Hoè - S.P. 58 ang. Via Cenisio,Santa Maria Hoè,2,FROZEN_GTFS::300207,300207,S.Maria Hoe' - paese,62.43,0.56,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR03,SAMAHR03,S. Maria Hoè - S.P. 58 ang. Via Cenisio,Santa Maria Hoè,1,FROZEN_GTFS::L00207,L00207,S.Maria Hoe' - paese,8.51,0.56,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::SAMAHR03,SAMAHR03,S. Maria Hoè - S.P. 58 ang. Via Cenisio,Santa Maria Hoè,2,FROZEN_GTFS::300207,300207,S.Maria Hoe' - paese,65.65,0.56,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
