cell_id,lat,lon,elevation_m,comune,frazione,pop_raw,pop_calibrated
CELL_00047,45.7109,9.4447,263.4,Calco,Arlate,7.396,1.43
CELL_00048,45.7109,9.446,264.2,Calco,Arlate,6.167,1.19
CELL_00049,45.7109,9.4473,266.3,Calco,Arlate,5.309,1.03
CELL_00050,45.7118,9.4161,262.2,Calco,Arlate,5.231,1.01
CELL_00051,45.7118,9.4174,262.7,Calco,Arlate,6.081,1.17
CELL_00052,45.7118,9.4187,263.4,Calco,Arlate,7.577,1.46
CELL_00053,45.7118,9.42,261.0,Calco,Arlate,9.073,1.75
CELL_00054,45.7118,9.4213,265.7,Calco,Arlate,11.027,2.13
CELL_00055,45.7118,9.4226,265.3,Calco,Arlate,12.873,2.49
CELL_00056,45.7118,9.4239,260.9,Calco,Arlate,15.405,2.98
CELL_00057,45.7118,9.4252,257.9,Calco,Arlate,18.224,3.52
CELL_00058,45.7118,9.4265,262.7,Calco,Arlate,21.203,4.1
CELL_00059,45.7118,9.4278,264.6,Calco,Arlate,24.363,4.71
CELL_00060,45.7118,9.4291,257.4,Calco,Arlate,26.997,5.22
CELL_00061,45.7118,9.4304,267.2,Calco,Arlate,29.186,5.64
CELL_00062,45.7118,9.4317,259.5,Calco,Arlate,30.023,5.8
CELL_00063,45.7118,9.433,262.3,Calco,Arlate,29.973,5.79
CELL_00064,45.7118,9.4343,261.9,Calco,Arlate,28.277,5.46
CELL_00065,45.7118,9.4356,258.4,Calco,Arlate,25.877,5.0
CELL_00066,45.7118,9.4369,266.1,Calco,Arlate,23.128,4.47
CELL_00067,45.7118,9.4382,260.8,Calco,Arlate,20.185,3.9
CELL_00068,45.7118,9.4395,264.3,Calco,Arlate,17.022,3.29
CELL_00069,45.7118,9.4408,260.6,Calco,Arlate,14.489,2.8
CELL_00070,45.7118,9.4421,259.5,Calco,Arlate,12.002,2.32
CELL_00071,45.7118,9.4434,263.8,Calco,Arlate,10.156,1.96
CELL_00072,45.7118,9.4447,268.9,Calco,Arlate,8.458,1.63
CELL_00073,45.7118,9.446,262.0,Calco,Arlate,6.906,1.33
CELL_00074,45.7118,9.4473,265.4,Calco,Arlate,5.542,1.07
CELL_00075,45.7118,9.4486,264.6,Calco,Arlate,4.477,0.86
CELL_00076,45.7127,9.3771,362.6,Olgiate Molgora,San Zeno,3.047,0.68
CELL_00077,45.7127,9.3784,360.6,Olgiate Molgora,San Zeno,3.197,0.71
CELL_00078,45.7127,9.3797,363.0,Olgiate Molgora,San Zeno,3.182,0.71
CELL_00079,45.7127,9.381,364.8,Olgiate Molgora,San Zeno,3.314,0.74
CELL_00080,45.7127,9.3823,367.1,Olgiate Molgora,San Zeno,3.201,0.71
CELL_00081,45.7127,9.3836,367.3,Olgiate Molgora,San Zeno,3.184,0.71
CELL_00082,45.7127,9.3849,358.6,Olgiate Molgora,San Zeno,3.186,0.71
CELL_00083,45.7127,9.3862,366.7,Olgiate Molgora,San Zeno,3.174,0.71
CELL_00084,45.7127,9.4161,266.5,Calco,Arlate,5.484,1.06
CELL_00085,45.7127,9.4174,267.7,Calco,Arlate,6.777,1.31
CELL_00086,45.7127,9.4187,262.3,Calco,Arlate,8.047,1.55
CELL_00087,45.7127,9.42,265.4,Calco,Arlate,9.835,1.9
CELL_00088,45.7127,9.4213,265.1,Calco,Arlate,11.852,2.29
CELL_00089,45.7127,9.4226,260.0,Calco,Arlate,14.387,2.78
CELL_00090,45.7127,9.4239,264.2,Calco,Arlate,17.459,3.37
CELL_00091,45.7127,9.4252,265.6,Calco,Arlate,20.885,4.03
CELL_00092,45.7127,9.4265,262.8,Calco,Arlate,24.717,4.78
CELL_00093,45.7127,9.4278,264.3,Calco,Arlate,28.876,5.58
CELL_00094,45.7127,9.4291,265.0,Calco,Arlate,33.001,6.38
CELL_00095,45.7127,9.4304,263.4,Calco,Arlate,35.939,6.94
CELL_00096,45.7127,9.4317,268.6,Calco,Arlate,37.58,7.26
CELL_00097,45.7127,9.433,268.2,Calco,Arlate,36.933,7.14
CELL_00098,45.7127,9.4343,264.7,Calco,Arlate,34.877,6.74
CELL_00099,45.7127,9.4356,265.4,Calco,Arlate,31.301,6.05
CELL_00100,45.7127,9.4369,261.0,Calco,Arlate,27.306,5.28
CELL_00101,45.7127,9.4382,258.9,Calco,Arlate,23.359,4.51
CELL_00102,45.7127,9.4395,262.2,Calco,Arlate,19.556,3.78
CELL_00103,45.7127,9.4408,258.1,Calco,Arlate,16.17,3.12
CELL_00104,45.7127,9.4421,265.8,Calco,Arlate,13.455,2.6
CELL_00105,45.7127,9.4434,261.1,Calco,Arlate,10.945,2.11
CELL_00106,45.7127,9.4447,262.3,Calco,Arlate,8.973,1.73
CELL_00107,45.7127,9.446,267.5,Calco,Arlate,7.647,1.48
CELL_00108,45.7127,9.4473,263.6,Calco,Arlate,5.934,1.15
CELL_00109,45.7127,9.4486,262.3,Calco,Arlate,4.838,0.93
CELL_00110,45.7136,9.3745,364.3,Olgiate Molgora,San Zeno,3.181,0.71
CELL_00111,45.7136,9.3758,361.6,Olgiate Molgora,San Zeno,3.291,0.73
CELL_00112,45.7136,9.3771,360.4,Olgiate Molgora,San Zeno,3.574,0.79
CELL_00113,45.7136,9.3784,361.1,Olgiate Molgora,San Zeno,3.724,0.83
CELL_00114,45.7136,9.3797,358.1,Olgiate Molgora,San Zeno,4.058,0.9
CELL_00115,45.7136,9.381,361.8,Olgiate Molgora,San Zeno,3.865,0.86
CELL_00116,45.7136,9.3823,356.8,Olgiate Molgora,San Zeno,4.081,0.91
CELL_00117,45.7136,9.3836,357.9,Olgiate Molgora,San Zeno,3.754,0.84
CELL_00118,45.7136,9.3849,370.1,Olgiate Molgora,San Zeno,3.678,0.82
CELL_00119,45.7136,9.3862,361.9,Olgiate Molgora,San Zeno,3.811,0.85
CELL_00120,45.7136,9.3875,361.1,Olgiate Molgora,San Zeno,3.378,0.75
CELL_00121,45.7136,9.3888,361.3,Olgiate Molgora,San Zeno,3.097,0.69
CELL_00122,45.7136,9.3901,364.5,Olgiate Molgora,San Zeno,3.077,0.68
CELL_00123,45.7136,9.4122,278.5,Calco,Calco Centro,14.244,2.75
CELL_00124,45.7136,9.4148,261.2,Calco,Arlate,4.737,0.92
CELL_00125,45.7136,9.4161,261.4,Calco,Arlate,5.874,1.13
CELL_00126,45.7136,9.4174,258.4,Calco,Arlate,6.958,1.34
CELL_00127,45.7136,9.4187,261.7,Calco,Arlate,8.562,1.65
CELL_00128,45.7136,9.42,264.0,Calco,Arlate,10.819,2.09
CELL_00129,45.7136,9.4213,266.0,Calco,Arlate,13.224,2.55
CELL_00130,45.7136,9.4226,265.1,Calco,Arlate,15.95,3.08
CELL_00131,45.7136,9.4239,263.8,Calco,Arlate,19.405,3.75
CELL_00132,45.7136,9.4252,269.4,Calco,Arlate,23.642,4.57
CELL_00133,45.7136,9.4265,262.4,Calco,Arlate,28.637,5.53
CELL_00134,45.7136,9.4278,264.1,Calco,Arlate,33.796,6.53
CELL_00135,45.7136,9.4291,268.8,Calco,Arlate,39.271,7.59
CELL_00136,45.7136,9.4304,264.7,Calco,Arlate,44.208,8.54
CELL_00137,45.7136,9.4317,265.6,Calco,Arlate,46.395,8.96
CELL_00138,45.7136,9.433,264.5,Calco,Arlate,45.937,8.88
CELL_00139,45.7136,9.4343,266.9,Calco,Arlate,42.26,8.16
CELL_00140,45.7136,9.4356,262.3,Calco,Arlate,37.137,7.17
CELL_00141,45.7136,9.4369,262.9,Calco,Arlate,32.014,6.19
CELL_00142,45.7136,9.4382,264.9,Calco,Arlate,26.763,5.17
CELL_00143,45.7136,9.4395,265.9,Calco,Arlate,21.954,4.24
CELL_00144,45.7136,9.4408,262.4,Calco,Arlate,18.052,3.49
CELL_00145,45.7136,9.4421,266.4,Calco,Arlate,14.832,2.87
CELL_00146,45.7136,9.4434,268.0,Calco,Arlate,12.267,2.37
CELL_00147,45.7136,9.4447,268.2,Calco,Arlate,9.826,1.9
CELL_00148,45.7136,9.446,264.3,Calco,Arlate,7.857,1.52
CELL_00149,45.7136,9.4473,262.1,Calco,Arlate,6.319,1.22
CELL_00150,45.7136,9.4486,262.0,Calco,Arlate,5.415,1.05
CELL_00151,45.7145,9.3719,362.3,Olgiate Molgora,San Zeno,2.829,0.63
CELL_00152,45.7145,9.3732,365.4,Olgiate Molgora,San Zeno,3.402,0.76
CELL_00153,45.7145,9.3745,362.3,Olgiate Molgora,San Zeno,3.549,0.79
CELL_00154,45.7145,9.3758,363.0,Olgiate Molgora,San Zeno,4.016,0.89
CELL_00155,45.7145,9.3771,360.2,Olgiate Molgora,San Zeno,4.354,0.97
CELL_00156,45.7145,9.3784,366.0,Olgiate Molgora,San Zeno,4.629,1.03
CELL_00157,45.7145,9.3797,361.9,Olgiate Molgora,San Zeno,4.879,1.09
CELL_00158,45.7145,9.381,362.3,Olgiate Molgora,San Zeno,4.75,1.06
CELL_00159,45.7145,9.3823,363.2,Olgiate Molgora,San Zeno,4.839,1.08
CELL_00160,45.7145,9.3836,361.5,Olgiate Molgora,San Zeno,4.943,1.1
CELL_00161,45.7145,9.3849,366.1,Olgiate Molgora,San Zeno,4.51,1.0
CELL_00162,45.7145,9.3862,356.5,Olgiate Molgora,San Zeno,4.614,1.03
CELL_00163,45.7145,9.3875,365.4,Olgiate Molgora,San Zeno,4.171,0.93
CELL_00164,45.7145,9.3888,365.1,Olgiate Molgora,San Zeno,3.808,0.85
CELL_00165,45.7145,9.3901,364.4,Olgiate Molgora,San Zeno,3.37,0.75
CELL_00166,45.7145,9.3914,360.8,Olgiate Molgora,San Zeno,3.285,0.73
CELL_00167,45.7145,9.4057,277.9,Calco,Calco Centro,13.979,2.7
CELL_00168,45.7145,9.407,282.8,Calco,Calco Centro,15.25,2.95
CELL_00169,45.7145,9.4083,281.5,Calco,Calco Centro,15.864,3.06
CELL_00170,45.7145,9.4096,277.5,Calco,Calco Centro,16.745,3.24
CELL_00171,45.7145,9.4109,283.6,Calco,Calco Centro,17.313,3.34
CELL_00172,45.7145,9.4122,277.7,Calco,Calco Centro,17.526,3.39
CELL_00173,45.7145,9.4135,277.9,Calco,Calco Centro,17.231,3.33
CELL_00174,45.7145,9.4148,277.8,Calco,Calco Centro,16.905,3.27
CELL_00175,45.7145,9.4161,263.6,Calco,Arlate,6.006,1.16
CELL_00176,45.7145,9.4174,263.8,Calco,Arlate,7.188,1.39
CELL_00177,45.7145,9.4187,270.3,Calco,Arlate,9.254,1.79
CELL_00178,45.7145,9.42,260.3,Calco,Arlate,11.152,2.15
CELL_00179,45.7145,9.4213,264.5,Calco,Arlate,14.023,2.71
CELL_00180,45.7145,9.4226,266.6,Calco,Arlate,17.059,3.3
CELL_00181,45.7145,9.4239,260.7,Calco,Arlate,21.057,4.07
CELL_00182,45.7145,9.4252,256.1,Calco,Arlate,26.13,5.05
CELL_00183,45.7145,9.4265,261.3,Calco,Arlate,32.136,6.21
CELL_00184,45.7145,9.4278,266.8,Calco,Arlate,38.743,7.49
CELL_00185,45.7145,9.4291,263.0,Calco,Arlate,46.348,8.95
CELL_00186,45.7145,9.4304,265.9,Calco,Arlate,53.486,10.33
CELL_00187,45.7145,9.4317,261.1,Calco,Arlate,57.775,11.16
CELL_00188,45.7145,9.433,265.3,Calco,Arlate,56.806,10.97
CELL_00189,45.7145,9.4343,259.7,Calco,Arlate,50.755,9.81
CELL_00190,45.7145,9.4356,264.1,Calco,Arlate,43.557,8.42
CELL_00191,45.7145,9.4369,264.1,Calco,Arlate,35.95,6.95
CELL_00192,45.7145,9.4382,263.9,Calco,Arlate,29.697,5.74
CELL_00193,45.7145,9.4395,264.5,Calco,Arlate,24.125,4.66
CELL_00194,45.7145,9.4408,262.5,Calco,Arlate,19.689,3.8
CELL_00195,45.7145,9.4421,262.9,Calco,Arlate,15.793,3.05
CELL_00196,45.7145,9.4434,263.3,Calco,Arlate,12.76,2.47
CELL_00197,45.7145,9.4447,267.7,Calco,Arlate,10.279,1.99
CELL_00198,45.7145,9.446,263.2,Calco,Arlate,8.304,1.6
CELL_00199,45.7145,9.4473,262.9,Calco,Arlate,6.933,1.34
CELL_00200,45.7145,9.4486,263.6,Calco,Arlate,5.437,1.05
CELL_00201,45.7154,9.3706,362.7,Olgiate Molgora,San Zeno,3.202,0.71
CELL_00202,45.7154,9.3719,359.8,Olgiate Molgora,San Zeno,3.381,0.75
CELL_00203,45.7154,9.3732,362.0,Olgiate Molgora,San Zeno,3.859,0.86
CELL_00204,45.7154,9.3745,358.9,Olgiate Molgora,San Zeno,4.406,0.98
CELL_00205,45.7154,9.3758,366.7,Olgiate Molgora,San Zeno,4.783,1.06
CELL_00206,45.7154,9.3771,360.8,Olgiate Molgora,San Zeno,5.198,1.16
CELL_00207,45.7154,9.3784,362.5,Olgiate Molgora,San Zeno,5.711,1.27
CELL_00208,45.7154,9.3797,365.9,Olgiate Molgora,San Zeno,5.717,1.27
CELL_00209,45.7154,9.381,358.7,Olgiate Molgora,San Zeno,6.0,1.33
CELL_00210,45.7154,9.3823,363.4,Olgiate Molgora,San Zeno,5.895,1.31
CELL_00211,45.7154,9.3836,358.0,Olgiate Molgora,San Zeno,5.841,1.3
CELL_00212,45.7154,9.3849,361.7,Olgiate Molgora,San Zeno,5.707,1.27
CELL_00213,45.7154,9.3862,367.2,Olgiate Molgora,San Zeno,5.305,1.18
CELL_00214,45.7154,9.3875,362.3,Olgiate Molgora,San Zeno,4.914,1.09
CELL_00215,45.7154,9.3888,364.8,Olgiate Molgora,San Zeno,4.755,1.06
CELL_00216,45.7154,9.3901,371.5,Olgiate Molgora,San Zeno,4.027,0.9
CELL_00217,45.7154,9.3914,367.3,Olgiate Molgora,San Zeno,3.825,0.85
CELL_00218,45.7154,9.3927,366.3,Olgiate Molgora,San Zeno,3.342,0.74
CELL_00219,45.7154,9.394,360.3,Olgiate Molgora,San Zeno,3.125,0.7
CELL_00220,45.7154,9.4044,273.6,Calco,Calco Centro,15.574,3.01
CELL_00221,45.7154,9.4057,279.1,Calco,Calco Centro,17.139,3.31
CELL_00222,45.7154,9.407,275.6,Calco,Calco Centro,18.71,3.61
CELL_00223,45.7154,9.4083,278.9,Calco,Calco Centro,19.592,3.79
CELL_00224,45.7154,9.4096,284.7,Calco,Calco Centro,20.832,4.02
CELL_00225,45.7154,9.4109,275.3,Calco,Calco Centro,21.331,4.12
CELL_00226,45.7154,9.4122,277.4,Calco,Calco Centro,21.71,4.19
CELL_00227,45.7154,9.4135,278.5,Calco,Calco Centro,21.461,4.15
CELL_00228,45.7154,9.4148,282.5,Calco,Calco Centro,20.874,4.03
CELL_00229,45.7154,9.4161,279.4,Calco,Calco Centro,20.258,3.91
CELL_00230,45.7154,9.4174,264.0,Calco,Arlate,7.429,1.44
CELL_00231,45.7154,9.4187,266.0,Calco,Arlate,9.375,1.81
CELL_00232,45.7154,9.42,263.6,Calco,Arlate,11.791,2.28
CELL_00233,45.7154,9.4213,267.4,Calco,Arlate,14.531,2.81
CELL_00234,45.7154,9.4226,264.1,Calco,Arlate,17.965,3.47
CELL_00235,45.7154,9.4239,262.5,Calco,Arlate,22.349,4.32
CELL_00236,45.7154,9.4252,264.9,Calco,Arlate,27.957,5.4
CELL_00237,45.7154,9.4265,261.3,Calco,Arlate,34.583,6.68
CELL_00238,45.7154,9.4278,264.9,Calco,Arlate,42.774,8.26
CELL_00239,45.7154,9.4291,261.9,Calco,Arlate,52.239,10.09
CELL_00240,45.7154,9.4304,264.8,Calco,Arlate,63.236,12.22
CELL_00241,45.7154,9.4317,266.8,Calco,Arlate,71.81,13.87
CELL_00242,45.7154,9.433,269.8,Calco,Arlate,69.074,13.35
CELL_00243,45.7154,9.4343,260.6,Calco,Arlate,58.852,11.37
CELL_00244,45.7154,9.4356,273.0,Calco,Arlate,48.583,9.39
CELL_00245,45.7154,9.4369,266.3,Calco,Arlate,39.368,7.61
CELL_00246,45.7154,9.4382,263.6,Calco,Arlate,31.653,6.12
CELL_00247,45.7154,9.4395,262.7,Calco,Arlate,25.488,4.92
CELL_00248,45.7154,9.4408,267.7,Calco,Arlate,20.395,3.94
CELL_00249,45.7154,9.4421,263.1,Calco,Arlate,16.557,3.2
CELL_00250,45.7154,9.4434,262.3,Calco,Arlate,13.175,2.55
CELL_00251,45.7154,9.4447,263.9,Calco,Arlate,10.557,2.04
CELL_00252,45.7154,9.446,267.2,Calco,Arlate,8.718,1.68
CELL_00253,45.7154,9.4473,264.2,Calco,Arlate,7.158,1.38
CELL_00254,45.7154,9.4486,266.5,Calco,Arlate,5.763,1.11
CELL_00255,45.7154,9.4499,262.5,Calco,Arlate,4.416,0.85
CELL_00256,45.7163,9.3693,361.9,Olgiate Molgora,San Zeno,3.183,0.71
CELL_00257,45.7163,9.3706,361.7,Olgiate Molgora,San Zeno,3.716,0.83
CELL_00258,45.7163,9.3719,365.0,Olgiate Molgora,San Zeno,4.21,0.94
CELL_00259,45.7163,9.3732,368.2,Olgiate Molgora,San Zeno,4.49,1.0
CELL_00260,45.7163,9.3745,362.7,Olgiate Molgora,San Zeno,5.007,1.11
CELL_00261,45.7163,9.3758,361.9,Olgiate Molgora,San Zeno,5.896,1.31
CELL_00262,45.7163,9.3771,364.4,Olgiate Molgora,San Zeno,6.25,1.39
CELL_00263,45.7163,9.3784,362.4,Olgiate Molgora,San Zeno,6.668,1.48
CELL_00264,45.7163,9.3797,357.9,Olgiate Molgora,San Zeno,7.127,1.59
CELL_00265,45.7163,9.381,362.5,Olgiate Molgora,San Zeno,7.486,1.67
CELL_00266,45.7163,9.3823,356.6,Olgiate Molgora,San Zeno,7.5,1.67
CELL_00267,45.7163,9.3836,365.4,Olgiate Molgora,San Zeno,7.149,1.59
CELL_00268,45.7163,9.3849,363.6,Olgiate Molgora,San Zeno,7.13,1.59
CELL_00269,45.7163,9.3862,363.3,Olgiate Molgora,San Zeno,6.448,1.43
CELL_00270,45.7163,9.3875,358.6,Olgiate Molgora,San Zeno,6.123,1.36
CELL_00271,45.7163,9.3888,362.1,Olgiate Molgora,San Zeno,5.776,1.28
CELL_00272,45.7163,9.3901,363.0,Olgiate Molgora,San Zeno,5.005,1.11
CELL_00273,45.7163,9.3914,362.3,Olgiate Molgora,San Zeno,4.504,1.0
CELL_00274,45.7163,9.3927,362.7,Olgiate Molgora,San Zeno,3.702,0.82
CELL_00275,45.7163,9.394,362.3,Olgiate Molgora,San Zeno,3.299,0.73
CELL_00276,45.7163,9.3953,358.5,Olgiate Molgora,San Zeno,2.876,0.64
CELL_00277,45.7163,9.4018,279.4,Calco,Calco Centro,14.918,2.88
CELL_00278,45.7163,9.4031,278.4,Calco,Calco Centro,16.929,3.27
CELL_00279,45.7163,9.4044,273.0,Calco,Calco Centro,18.68,3.61
CELL_00280,45.7163,9.4057,273.5,Calco,Calco Centro,20.696,4.0
CELL_00281,45.7163,9.407,283.9,Calco,Calco Centro,22.826,4.41
CELL_00282,45.7163,9.4083,275.4,Calco,Calco Centro,24.313,4.7
CELL_00283,45.7163,9.4096,274.4,Calco,Calco Centro,25.829,4.99
CELL_00284,45.7163,9.4109,278.0,Calco,Calco Centro,26.419,5.1
CELL_00285,45.7163,9.4122,282.4,Calco,Calco Centro,27.058,5.23
CELL_00286,45.7163,9.4135,278.9,Calco,Calco Centro,26.644,5.15
CELL_00287,45.7163,9.4148,273.4,Calco,Calco Centro,26.029,5.03
CELL_00288,45.7163,9.4161,280.2,Calco,Calco Centro,24.906,4.81
CELL_00289,45.7163,9.4174,263.4,Calco,Arlate,7.791,1.51
CELL_00290,45.7163,9.4187,265.4,Calco,Arlate,9.69,1.87
CELL_00291,45.7163,9.42,267.2,Calco,Arlate,11.962,2.31
CELL_00292,45.7163,9.4213,267.8,Calco,Arlate,14.568,2.81
CELL_00293,45.7163,9.4226,270.5,Calco,Arlate,18.29,3.53
CELL_00294,45.7163,9.4239,267.6,Calco,Arlate,23.003,4.44
CELL_00295,45.7163,9.4252,268.5,Calco,Arlate,28.396,5.49
CELL_00296,45.7163,9.4265,265.5,Calco,Arlate,35.471,6.85
CELL_00297,45.7163,9.4278,266.5,Calco,Arlate,44.451,8.59
CELL_00298,45.7163,9.4291,266.1,Calco,Arlate,55.063,10.64
CELL_00299,45.7163,9.4304,261.4,Calco,Arlate,69.134,13.36
CELL_00300,45.7163,9.4317,262.3,Calco,Arlate,85.849,16.59
CELL_00301,45.7163,9.433,260.6,Calco,Arlate,79.055,15.27
CELL_00302,45.7163,9.4343,264.0,Calco,Arlate,63.388,12.25
CELL_00303,45.7163,9.4356,264.4,Calco,Arlate,50.759,9.81
CELL_00304,45.7163,9.4369,268.3,Calco,Arlate,40.571,7.84
CELL_00305,45.7163,9.4382,269.4,Calco,Arlate,32.534,6.29
CELL_00306,45.7163,9.4395,270.5,Calco,Arlate,25.978,5.02
CELL_00307,45.7163,9.4408,267.0,Calco,Arlate,21.002,4.06
CELL_00308,45.7163,9.4421,265.4,Calco,Arlate,16.98,3.28
CELL_00309,45.7163,9.4434,262.6,Calco,Arlate,13.369,2.58
CELL_00310,45.7163,9.4447,260.5,Calco,Arlate,10.942,2.11
CELL_00311,45.7163,9.446,265.8,Calco,Arlate,8.677,1.68
CELL_00312,45.7163,9.4473,265.4,Calco,Arlate,7.089,1.37
CELL_00313,45.7163,9.4486,259.9,Calco,Arlate,5.622,1.09
CELL_00314,45.7163,9.4499,267.1,Calco,Arlate,4.733,0.91
CELL_00315,45.7172,9.368,362.6,Olgiate Molgora,San Zeno,2.983,0.66
CELL_00316,45.7172,9.3693,358.5,Olgiate Molgora,San Zeno,3.453,0.77
CELL_00317,45.7172,9.3706,362.5,Olgiate Molgora,San Zeno,4.279,0.95
CELL_00318,45.7172,9.3719,364.5,Olgiate Molgora,San Zeno,4.733,1.05
CELL_00319,45.7172,9.3732,357.4,Olgiate Molgora,San Zeno,5.629,1.25
CELL_00320,45.7172,9.3745,360.5,Olgiate Molgora,San Zeno,6.172,1.37
CELL_00321,45.7172,9.3758,365.8,Olgiate Molgora,San Zeno,6.945,1.54
CELL_00322,45.7172,9.3771,360.7,Olgiate Molgora,San Zeno,7.487,1.67
CELL_00323,45.7172,9.3784,360.1,Olgiate Molgora,San Zeno,8.481,1.89
CELL_00324,45.7172,9.3797,363.9,Olgiate Molgora,San Zeno,8.685,1.93
CELL_00325,45.7172,9.381,362.0,Olgiate Molgora,San Zeno,8.903,1.98
CELL_00326,45.7172,9.3823,366.6,Olgiate Molgora,San Zeno,9.267,2.06
CELL_00327,45.7172,9.3836,357.2,Olgiate Molgora,San Zeno,9.158,2.04
CELL_00328,45.7172,9.3849,359.0,Olgiate Molgora,San Zeno,8.474,1.88
CELL_00329,45.7172,9.3862,356.2,Olgiate Molgora,San Zeno,8.184,1.82
CELL_00330,45.7172,9.3875,359.6,Olgiate Molgora,San Zeno,7.457,1.66
CELL_00331,45.7172,9.3888,359.7,Olgiate Molgora,San Zeno,6.688,1.49
CELL_00332,45.7172,9.3901,361.1,Olgiate Molgora,San Zeno,5.896,1.31
CELL_00333,45.7172,9.3914,369.6,Olgiate Molgora,San Zeno,5.408,1.2
CELL_00334,45.7172,9.3927,357.3,Olgiate Molgora,San Zeno,4.366,0.97
CELL_00335,45.7172,9.394,365.0,Olgiate Molgora,San Zeno,4.033,0.9
CELL_00336,45.7172,9.3953,368.7,Olgiate Molgora,San Zeno,3.517,0.78
CELL_00337,45.7172,9.4005,279.6,Calco,Calco Centro,15.248,2.95
CELL_00338,45.7172,9.4018,278.1,Calco,Calco Centro,17.48,3.38
CELL_00339,45.7172,9.4031,275.6,Calco,Calco Centro,20.227,3.91
CELL_00340,45.7172,9.4044,278.4,Calco,Calco Centro,22.842,4.41
CELL_00341,45.7172,9.4057,273.1,Calco,Calco Centro,25.17,4.86
CELL_00342,45.7172,9.407,279.4,Calco,Calco Centro,27.658,5.34
CELL_00343,45.7172,9.4083,287.0,Calco,Calco Centro,29.806,5.76
CELL_00344,45.7172,9.4096,279.3,Calco,Calco Centro,31.824,6.15
CELL_00345,45.7172,9.4109,274.4,Calco,Calco Centro,32.994,6.37
CELL_00346,45.7172,9.4122,280.4,Calco,Calco Centro,33.483,6.47
CELL_00347,45.7172,9.4135,281.8,Calco,Calco Centro,33.325,6.44
