cell_id,lat,lon,elevation_m,comune,frazione,pop_raw,pop_calibrated,nearest_stop_id,nearest_stop_dist_m,walk_min_std,walk_min_slope
CELL_00019,45.71,9.4408,266.5,Calco,Arlate,11.04,2.13,S_ARLATE,1226.6,15.33,15.27
CELL_00020,45.71,9.4421,256.1,Calco,Arlate,9.456,1.83,S_ARLATE,1316.8,16.46,16.85
CELL_00021,45.71,9.4434,265.3,Calco,Arlate,7.748,1.5,S_ARLATE,1412.5,17.66,17.64
CELL_00022,45.71,9.4447,263.1,Calco,Arlate,6.872,1.33,S_ARLATE,1512.7,18.91,18.99
CELL_00023,45.71,9.446,264.2,Calco,Arlate,5.544,1.07,S_ARLATE,1616.5,20.21,20.24
CELL_00024,45.71,9.4473,265.3,Calco,Arlate,4.557,0.88,S_ARLATE,1723.4,21.54,21.53
CELL_00025,45.7109,9.4161,272.0,Calco,Arlate,4.646,0.9,S_ARLATE,1731.7,21.65,21.34
CELL_00026,45.7109,9.4174,264.6,Calco,Arlate,5.683,1.1,S_ARLATE,1619.3,20.24,20.26
CELL_00027,45.7109,9.4187,265.8,Calco,Arlate,6.587,1.27,S_ARLATE,1509.2,18.86,18.83
CELL_00028,45.7109,9.42,258.2,Calco,Arlate,8.226,1.59,S_ARLATE,1401.8,17.52,17.82
CELL_00029,45.7109,9.4213,263.3,Calco,Arlate,9.607,1.86,S_ARLATE,1297.7,16.22,16.3
CELL_00030,45.7109,9.4226,269.2,Calco,Arlate,11.418,2.21,S_ARLATE,1198.0,14.97,14.79
CELL_00031,45.7109,9.4239,259.5,Calco,Arlate,13.4,2.59,S_ARLATE,1103.7,13.8,14.04
CELL_00032,45.7109,9.4252,261.4,Calco,Arlate,15.653,3.02,S_ARLATE,1016.3,12.7,12.86
CELL_00033,45.7109,9.4265,263.2,Calco,Arlate,17.828,3.44,S_ARLATE,937.9,11.72,11.8
CELL_00034,45.7109,9.4278,267.9,Calco,Arlate,20.245,3.91,S_ARLATE,870.8,10.88,10.76
CELL_00035,45.7109,9.4291,255.9,Calco,Arlate,22.324,4.31,S_ARLATE,817.8,10.22,10.63
CELL_00036,45.7109,9.4304,260.5,Calco,Arlate,23.645,4.57,S_ARLATE,781.7,9.77,9.97
CELL_00037,45.7109,9.4317,261.0,Calco,Arlate,24.247,4.68,S_ARLATE,765.1,9.56,9.74
CELL_00038,45.7109,9.433,262.1,Calco,Arlate,24.141,4.66,S_ARLATE,769.1,9.61,9.74
CELL_00039,45.7109,9.4343,264.6,Calco,Arlate,23.004,4.44,S_ARLATE,793.4,9.92,9.93
CELL_00040,45.7109,9.4356,268.4,Calco,Arlate,21.388,4.13,S_ARLATE,836.3,10.45,10.31
CELL_00041,45.7109,9.4369,258.3,Calco,Arlate,19.256,3.72,S_ARLATE,895.1,11.19,11.49
CELL_00042,45.7109,9.4382,260.4,Calco,Arlate,16.912,3.27,S_ARLATE,966.9,12.09,12.29
CELL_00043,45.7109,9.4395,260.1,Calco,Arlate,14.635,2.83,S_ARLATE,1049.0,13.11,13.33
CELL_00044,45.7109,9.4408,261.6,Calco,Arlate,12.722,2.46,S_ARLATE,1139.2,14.24,14.39
CELL_00045,45.7109,9.4421,262.2,Calco,Arlate,10.525,2.03,S_ARLATE,1235.8,15.45,15.57
CELL_00046,45.7109,9.4434,263.9,Calco,Arlate,9.111,1.76,S_ARLATE,1337.3,16.72,16.76
CELL_00047,45.7109,9.4447,263.4,Calco,Arlate,7.396,1.43,S_ARLATE,1442.7,18.03,18.1
CELL_00048,45.7109,9.446,264.2,Calco,Arlate,6.167,1.19,S_ARLATE,1551.3,19.39,19.43
CELL_00049,45.7109,9.4473,266.3,Calco,Arlate,5.309,1.03,S_ARLATE,1662.3,20.78,20.72
CELL_00050,45.7118,9.4161,262.2,Calco,Arlate,5.231,1.01,S_ARLATE,1680.3,21.0,21.13
CELL_00051,45.7118,9.4174,262.7,Calco,Arlate,6.081,1.17,S_ARLATE,1564.2,19.55,19.65
CELL_00052,45.7118,9.4187,263.4,Calco,Arlate,7.577,1.46,S_ARLATE,1449.9,18.12,18.19
CELL_00053,45.7118,9.42,261.0,Calco,Arlate,9.073,1.75,S_ARLATE,1337.7,16.72,16.9
CELL_00054,45.7118,9.4213,265.7,Calco,Arlate,11.027,2.13,S_ARLATE,1228.3,15.35,15.32
CELL_00055,45.7118,9.4226,265.3,Calco,Arlate,12.873,2.49,S_ARLATE,1122.4,14.03,14.02
CELL_00056,45.7118,9.4239,260.9,Calco,Arlate,15.405,2.98,S_ARLATE,1021.1,12.76,12.94
CELL_00057,45.7118,9.4252,257.9,Calco,Arlate,18.224,3.52,S_ARLATE,926.0,11.58,11.89
CELL_00058,45.7118,9.4265,262.7,Calco,Arlate,21.203,4.1,S_ARLATE,839.2,10.49,10.59
CELL_00059,45.7118,9.4278,264.6,Calco,Arlate,24.363,4.71,S_ARLATE,763.4,9.54,9.56
CELL_00060,45.7118,9.4291,257.4,Calco,Arlate,26.997,5.22,S_ARLATE,702.3,8.78,9.12
CELL_00061,45.7118,9.4304,267.2,Calco,Arlate,29.186,5.64,S_ARLATE,660.0,8.25,8.15
CELL_00062,45.7118,9.4317,259.5,Calco,Arlate,30.023,5.8,S_ARLATE,640.2,8.0,8.25
CELL_00063,45.7118,9.433,262.3,Calco,Arlate,29.973,5.79,S_ARLATE,645.0,8.06,8.18
CELL_00064,45.7118,9.4343,261.9,Calco,Arlate,28.277,5.46,S_ARLATE,673.8,8.42,8.56
CELL_00065,45.7118,9.4356,258.4,Calco,Arlate,25.877,5.0,S_ARLATE,723.8,9.05,9.34
CELL_00066,45.7118,9.4369,266.1,Calco,Arlate,23.128,4.47,S_ARLATE,791.0,9.89,9.84
CELL_00067,45.7118,9.4382,260.8,Calco,Arlate,20.185,3.9,S_ARLATE,871.4,10.89,11.08
CELL_00068,45.7118,9.4395,264.3,Calco,Arlate,17.022,3.29,S_ARLATE,961.7,12.02,12.05
CELL_00069,45.7118,9.4408,260.6,Calco,Arlate,14.489,2.8,S_ARLATE,1059.4,13.24,13.44
CELL_00070,45.7118,9.4421,259.5,Calco,Arlate,12.002,2.32,S_ARLATE,1162.6,14.53,14.78
CELL_00071,45.7118,9.4434,263.8,Calco,Arlate,10.156,1.96,S_ARLATE,1270.0,15.88,15.93
CELL_00072,45.7118,9.4447,268.9,Calco,Arlate,8.458,1.63,S_ARLATE,1380.6,17.26,17.09
CELL_00073,45.7118,9.446,262.0,Calco,Arlate,6.906,1.33,S_ARLATE,1493.6,18.67,18.8
CELL_00074,45.7118,9.4473,265.4,Calco,Arlate,5.542,1.07,S_ARLATE,1608.7,20.11,20.09
CELL_00075,45.7118,9.4486,264.6,Calco,Arlate,4.477,0.86,S_ARLATE,1725.3,21.57,21.58
CELL_00076,45.7127,9.3771,362.6,Olgiate Molgora,San Zeno,3.047,0.68,S_SAN_ZENO,1749.7,21.87,21.98
CELL_00077,45.7127,9.3784,360.6,Olgiate Molgora,San Zeno,3.197,0.71,S_SAN_ZENO,1719.0,21.49,21.68
CELL_00078,45.7127,9.3797,363.0,Olgiate Molgora,San Zeno,3.182,0.71,S_SAN_ZENO,1697.1,21.21,21.3
CELL_00079,45.7127,9.381,364.8,Olgiate Molgora,San Zeno,3.314,0.74,S_SAN_ZENO,1684.4,21.05,21.06
CELL_00080,45.7127,9.3823,367.1,Olgiate Molgora,San Zeno,3.201,0.71,S_SAN_ZENO,1681.1,21.01,20.92
CELL_00081,45.7127,9.3836,367.3,Olgiate Molgora,San Zeno,3.184,0.71,S_SAN_ZENO,1687.3,21.09,20.99
CELL_00082,45.7127,9.3849,358.6,Olgiate Molgora,San Zeno,3.186,0.71,S_SAN_ZENO,1702.8,21.29,21.57
CELL_00083,45.7127,9.3862,366.7,Olgiate Molgora,San Zeno,3.174,0.71,S_SAN_ZENO,1727.5,21.59,21.52
CELL_00084,45.7127,9.4161,266.5,Calco,Arlate,5.484,1.06,S_ARLATE,1636.8,20.46,20.39
CELL_00085,45.7127,9.4174,267.7,Calco,Arlate,6.777,1.31,S_ARLATE,1517.4,18.97,18.85
CELL_00086,45.7127,9.4187,262.3,Calco,Arlate,8.047,1.55,S_ARLATE,1399.3,17.49,17.61
CELL_00087,45.7127,9.42,265.4,Calco,Arlate,9.835,1.9,S_ARLATE,1282.7,16.03,16.02
CELL_00088,45.7127,9.4213,265.1,Calco,Arlate,11.852,2.29,S_ARLATE,1168.1,14.6,14.6
CELL_00089,45.7127,9.4226,260.0,Calco,Arlate,14.387,2.78,S_ARLATE,1056.2,13.2,13.42
CELL_00090,45.7127,9.4239,264.2,Calco,Arlate,17.459,3.37,S_ARLATE,947.9,11.85,11.88
CELL_00091,45.7127,9.4252,265.6,Calco,Arlate,20.885,4.03,S_ARLATE,844.6,10.56,10.53
CELL_00092,45.7127,9.4265,262.8,Calco,Arlate,24.717,4.78,S_ARLATE,748.4,9.35,9.45
CELL_00093,45.7127,9.4278,264.3,Calco,Arlate,28.876,5.58,S_ARLATE,662.3,8.28,8.31
CELL_00094,45.7127,9.4291,265.0,Calco,Arlate,33.001,6.38,S_ARLATE,590.9,7.39,7.39
CELL_00095,45.7127,9.4304,263.4,Calco,Arlate,35.939,6.94,S_ARLATE,539.9,6.75,6.82
CELL_00096,45.7127,9.4317,268.6,Calco,Arlate,37.58,7.26,S_ARLATE,515.5,6.44,6.29
CELL_00097,45.7127,9.433,268.2,Calco,Arlate,36.933,7.14,S_ARLATE,521.4,6.52,6.38
CELL_00098,45.7127,9.4343,264.7,Calco,Arlate,34.877,6.74,S_ARLATE,556.7,6.96,6.97
CELL_00099,45.7127,9.4356,265.4,Calco,Arlate,31.301,6.05,S_ARLATE,616.3,7.7,7.69
CELL_00100,45.7127,9.4369,261.0,Calco,Arlate,27.306,5.28,S_ARLATE,693.9,8.67,8.85
CELL_00101,45.7127,9.4382,258.9,Calco,Arlate,23.359,4.51,S_ARLATE,784.4,9.8,10.08
CELL_00102,45.7127,9.4395,262.2,Calco,Arlate,19.556,3.78,S_ARLATE,883.6,11.05,11.17
CELL_00103,45.7127,9.4408,258.1,Calco,Arlate,16.17,3.12,S_ARLATE,989.0,12.36,12.67
CELL_00104,45.7127,9.4421,265.8,Calco,Arlate,13.455,2.6,S_ARLATE,1098.9,13.74,13.7
CELL_00105,45.7127,9.4434,261.1,Calco,Arlate,10.945,2.11,S_ARLATE,1211.9,15.15,15.32
CELL_00106,45.7127,9.4447,262.3,Calco,Arlate,8.973,1.73,S_ARLATE,1327.3,16.59,16.71
CELL_00107,45.7127,9.446,267.5,Calco,Arlate,7.647,1.48,S_ARLATE,1444.6,18.06,17.95
CELL_00108,45.7127,9.4473,263.6,Calco,Arlate,5.934,1.15,S_ARLATE,1563.2,19.54,19.6
CELL_00109,45.7127,9.4486,262.3,Calco,Arlate,4.838,0.93,S_ARLATE,1683.0,21.04,21.16
CELL_00110,45.7136,9.3745,364.3,Olgiate Molgora,San Zeno,3.181,0.71,S_SAN_ZENO,1722.2,21.53,21.56
CELL_00111,45.7136,9.3758,361.6,Olgiate Molgora,San Zeno,3.291,0.73,S_SAN_ZENO,1671.9,20.9,21.05
CELL_00112,45.7136,9.3771,360.4,Olgiate Molgora,San Zeno,3.574,0.79,S_SAN_ZENO,1630.0,20.37,20.58
CELL_00113,45.7136,9.3784,361.1,Olgiate Molgora,San Zeno,3.724,0.83,S_SAN_ZENO,1596.9,19.96,20.13
CELL_00114,45.7136,9.3797,358.1,Olgiate Molgora,San Zeno,4.058,0.9,S_SAN_ZENO,1573.3,19.67,19.97
CELL_00115,45.7136,9.381,361.8,Olgiate Molgora,San Zeno,3.865,0.86,S_SAN_ZENO,1559.6,19.5,19.64
CELL_00116,45.7136,9.3823,356.8,Olgiate Molgora,San Zeno,4.081,0.91,S_SAN_ZENO,1556.1,19.45,19.81
CELL_00117,45.7136,9.3836,357.9,Olgiate Molgora,San Zeno,3.754,0.84,S_SAN_ZENO,1562.8,19.53,19.85
CELL_00118,45.7136,9.3849,370.1,Olgiate Molgora,San Zeno,3.678,0.82,S_SAN_ZENO,1579.5,19.74,19.52
CELL_00119,45.7136,9.3862,361.9,Olgiate Molgora,San Zeno,3.811,0.85,S_SAN_ZENO,1606.1,20.08,20.21
CELL_00120,45.7136,9.3875,361.1,Olgiate Molgora,San Zeno,3.378,0.75,S_SAN_ZENO,1642.0,20.52,20.7
CELL_00121,45.7136,9.3888,361.3,Olgiate Molgora,San Zeno,3.097,0.69,S_SAN_ZENO,1686.5,21.08,21.24
CELL_00122,45.7136,9.3901,364.5,Olgiate Molgora,San Zeno,3.077,0.68,S_SAN_ZENO,1739.2,21.74,21.76
CELL_00123,45.7136,9.4122,278.5,Calco,Calco Centro,14.244,2.75,S_CALCO_CHIESA,1535.2,19.19,19.61
CELL_00124,45.7136,9.4148,261.2,Calco,Arlate,4.737,0.92,S_CALCO_CHIESA,1514.3,18.93,20.14
CELL_00125,45.7136,9.4161,261.4,Calco,Arlate,5.874,1.13,S_ARLATE,1601.9,20.02,20.18
CELL_00126,45.7136,9.4174,258.4,Calco,Arlate,6.958,1.34,S_ARLATE,1479.8,18.5,18.79
CELL_00127,45.7136,9.4187,261.7,Calco,Arlate,8.562,1.65,S_ARLATE,1358.4,16.98,17.12
CELL_00128,45.7136,9.42,264.0,Calco,Arlate,10.819,2.09,S_ARLATE,1237.9,15.47,15.52
CELL_00129,45.7136,9.4213,266.0,Calco,Arlate,13.224,2.55,S_ARLATE,1118.8,13.98,13.94
CELL_00130,45.7136,9.4226,265.1,Calco,Arlate,15.95,3.08,S_ARLATE,1001.3,12.52,12.51
CELL_00131,45.7136,9.4239,263.8,Calco,Arlate,19.405,3.75,S_ARLATE,886.3,11.08,11.13
CELL_00132,45.7136,9.4252,269.4,Calco,Arlate,23.642,4.57,S_ARLATE,774.9,9.69,9.5
CELL_00133,45.7136,9.4265,262.4,Calco,Arlate,28.637,5.53,S_ARLATE,668.7,8.36,8.47
CELL_00134,45.7136,9.4278,264.1,Calco,Arlate,33.796,6.53,S_ARLATE,570.7,7.13,7.17
CELL_00135,45.7136,9.4291,268.8,Calco,Arlate,39.271,7.59,S_ARLATE,486.0,6.08,5.91
CELL_00136,45.7136,9.4304,264.7,Calco,Arlate,44.208,8.54,S_ARLATE,422.6,5.28,5.3
CELL_00137,45.7136,9.4317,265.6,Calco,Arlate,46.395,8.96,S_ARLATE,390.9,4.89,4.86
CELL_00138,45.7136,9.433,264.5,Calco,Arlate,45.937,8.88,S_ARLATE,398.7,4.98,5.01
CELL_00139,45.7136,9.4343,266.9,Calco,Arlate,42.26,8.16,S_ARLATE,443.8,5.55,5.47
CELL_00140,45.7136,9.4356,262.3,Calco,Arlate,37.137,7.17,S_ARLATE,516.6,6.46,6.58
CELL_00141,45.7136,9.4369,262.9,Calco,Arlate,32.014,6.19,S_ARLATE,607.2,7.59,7.68
CELL_00142,45.7136,9.4382,264.9,Calco,Arlate,26.763,5.17,S_ARLATE,708.7,8.86,8.86
CELL_00143,45.7136,9.4395,265.9,Calco,Arlate,21.954,4.24,S_ARLATE,817.2,10.22,10.18
CELL_00144,45.7136,9.4408,262.4,Calco,Arlate,18.052,3.49,S_ARLATE,930.2,11.63,11.74
CELL_00145,45.7136,9.4421,266.4,Calco,Arlate,14.832,2.87,S_ARLATE,1046.2,13.08,13.02
CELL_00146,45.7136,9.4434,268.0,Calco,Arlate,12.267,2.37,S_ARLATE,1164.4,14.56,14.42
CELL_00147,45.7136,9.4447,268.2,Calco,Arlate,9.826,1.9,S_ARLATE,1284.1,16.05,15.91
CELL_00148,45.7136,9.446,264.3,Calco,Arlate,7.857,1.52,S_ARLATE,1405.0,17.56,17.59
CELL_00149,45.7136,9.4473,262.1,Calco,Arlate,6.319,1.22,S_ARLATE,1526.7,19.08,19.21
CELL_00150,45.7136,9.4486,262.0,Calco,Arlate,5.415,1.05,S_ARLATE,1649.1,20.61,20.75
CELL_00151,45.7145,9.3719,362.3,Olgiate Molgora,San Zeno,2.829,0.63,S_SAN_ZENO,1740.4,21.75,21.87
CELL_00152,45.7145,9.3732,365.4,Olgiate Molgora,San Zeno,3.402,0.76,S_SAN_ZENO,1671.7,20.9,20.88
CELL_00153,45.7145,9.3745,362.3,Olgiate Molgora,San Zeno,3.549,0.79,S_SAN_ZENO,1610.1,20.13,20.24
CELL_00154,45.7145,9.3758,363.0,Olgiate Molgora,San Zeno,4.016,0.89,S_SAN_ZENO,1556.3,19.45,19.54
CELL_00155,45.7145,9.3771,360.2,Olgiate Molgora,San Zeno,4.354,0.97,S_SAN_ZENO,1511.1,18.89,19.1
CELL_00156,45.7145,9.3784,366.0,Olgiate Molgora,San Zeno,4.629,1.03,S_SAN_ZENO,1475.4,18.44,18.4
CELL_00157,45.7145,9.3797,361.9,Olgiate Molgora,San Zeno,4.879,1.09,S_SAN_ZENO,1449.8,18.12,18.26
CELL_00158,45.7145,9.381,362.3,Olgiate Molgora,San Zeno,4.75,1.06,S_SAN_ZENO,1434.9,17.94,18.05
CELL_00159,45.7145,9.3823,363.2,Olgiate Molgora,San Zeno,4.839,1.08,S_SAN_ZENO,1431.0,17.89,17.97
CELL_00160,45.7145,9.3836,361.5,Olgiate Molgora,San Zeno,4.943,1.1,S_SAN_ZENO,1438.3,17.98,18.13
CELL_00161,45.7145,9.3849,366.1,Olgiate Molgora,San Zeno,4.51,1.0,S_SAN_ZENO,1456.5,18.21,18.16
CELL_00162,45.7145,9.3862,356.5,Olgiate Molgora,San Zeno,4.614,1.03,S_SAN_ZENO,1485.3,18.57,18.94
CELL_00163,45.7145,9.3875,365.4,Olgiate Molgora,San Zeno,4.171,0.93,S_SAN_ZENO,1524.0,19.05,19.03
CELL_00164,45.7145,9.3888,365.1,Olgiate Molgora,San Zeno,3.808,0.85,S_SAN_ZENO,1571.9,19.65,19.64
CELL_00165,45.7145,9.3901,364.4,Olgiate Molgora,San Zeno,3.37,0.75,S_SAN_ZENO,1628.3,20.35,20.38
CELL_00166,45.7145,9.3914,360.8,Olgiate Molgora,San Zeno,3.285,0.73,S_SAN_ZENO,1692.2,21.15,21.34
CELL_00167,45.7145,9.4057,277.9,Calco,Calco Centro,13.979,2.7,S_CALCO_CHIESA,1646.6,20.58,21.03
CELL_00168,45.7145,9.407,282.8,Calco,Calco Centro,15.25,2.95,S_CALCO_CHIESA,1582.4,19.78,20.01
CELL_00169,45.7145,9.4083,281.5,Calco,Calco Centro,15.864,3.06,S_CALCO_CHIESA,1526.0,19.07,19.36
CELL_00170,45.7145,9.4096,277.5,Calco,Calco Centro,16.745,3.24,S_CALCO_CHIESA,1478.2,18.48,18.94
CELL_00171,45.7145,9.4109,283.6,Calco,Calco Centro,17.313,3.34,S_CALCO_CHIESA,1440.0,18.0,18.19
CELL_00172,45.7145,9.4122,277.7,Calco,Calco Centro,17.526,3.39,S_CALCO_CHIESA,1412.0,17.65,18.11
CELL_00173,45.7145,9.4135,277.9,Calco,Calco Centro,17.231,3.33,S_CALCO_CHIESA,1395.0,17.44,17.88
CELL_00174,45.7145,9.4148,277.8,Calco,Calco Centro,16.905,3.27,S_CALCO_CHIESA,1389.2,17.37,17.82
CELL_00175,45.7145,9.4161,263.6,Calco,Arlate,6.006,1.16,S_CALCO_CHIESA,1395.0,17.44,18.54
CELL_00176,45.7145,9.4174,263.8,Calco,Arlate,7.188,1.39,S_ARLATE,1451.9,18.15,18.2
CELL_00177,45.7145,9.4187,270.3,Calco,Arlate,9.254,1.79,S_ARLATE,1328.0,16.6,16.37
CELL_00178,45.7145,9.42,260.3,Calco,Arlate,11.152,2.15,S_ARLATE,1204.5,15.06,15.26
CELL_00179,45.7145,9.4213,264.5,Calco,Arlate,14.023,2.71,S_ARLATE,1081.7,13.52,13.54
CELL_00180,45.7145,9.4226,266.6,Calco,Arlate,17.059,3.3,S_ARLATE,959.7,12.0,11.93
CELL_00181,45.7145,9.4239,260.7,Calco,Arlate,21.057,4.07,S_ARLATE,839.0,10.49,10.68
CELL_00182,45.7145,9.4252,256.1,Calco,Arlate,26.13,5.05,S_ARLATE,720.3,9.0,9.4
CELL_00183,45.7145,9.4265,261.3,Calco,Arlate,32.136,6.21,S_ARLATE,604.6,7.56,7.72
CELL_00184,45.7145,9.4278,266.8,Calco,Arlate,38.743,7.49,S_ARLATE,494.1,6.18,6.1
CELL_00185,45.7145,9.4291,263.0,Calco,Arlate,46.348,8.95,S_ARLATE,393.2,4.91,5.0
CELL_00186,45.7145,9.4304,265.9,Calco,Arlate,53.486,10.33,S_ARLATE,311.3,3.89,3.85
CELL_00187,45.7145,9.4317,261.1,Calco,Arlate,57.775,11.16,S_ARLATE,266.8,3.33,3.51
CELL_00188,45.7145,9.433,265.3,Calco,Arlate,56.806,10.97,S_ARLATE,278.1,3.48,3.46
CELL_00189,45.7145,9.4343,259.7,Calco,Arlate,50.755,9.81,S_ARLATE,339.6,4.25,4.48
CELL_00190,45.7145,9.4356,264.1,Calco,Arlate,43.557,8.42,S_ARLATE,430.4,5.38,5.42
CELL_00191,45.7145,9.4369,264.1,Calco,Arlate,35.95,6.95,S_ARLATE,535.7,6.7,6.74
CELL_00192,45.7145,9.4382,263.9,Calco,Arlate,29.697,5.74,S_ARLATE,648.6,8.11,8.16
CELL_00193,45.7145,9.4395,264.5,Calco,Arlate,24.125,4.66,S_ARLATE,765.7,9.57,9.59
CELL_00194,45.7145,9.4408,262.5,Calco,Arlate,19.689,3.8,S_ARLATE,885.3,11.07,11.18
CELL_00195,45.7145,9.4421,262.9,Calco,Arlate,15.793,3.05,S_ARLATE,1006.5,12.58,12.67
CELL_00196,45.7145,9.4434,263.3,Calco,Arlate,12.76,2.47,S_ARLATE,1128.8,14.11,14.18
CELL_00197,45.7145,9.4447,267.7,Calco,Arlate,10.279,1.99,S_ARLATE,1251.9,15.65,15.53
CELL_00198,45.7145,9.446,263.2,Calco,Arlate,8.304,1.6,S_ARLATE,1375.6,17.19,17.27
CELL_00199,45.7145,9.4473,262.9,Calco,Arlate,6.933,1.34,S_ARLATE,1499.7,18.75,18.84
CELL_00200,45.7145,9.4486,263.6,Calco,Arlate,5.437,1.05,S_ARLATE,1624.2,20.3,20.36
CELL_00201,45.7154,9.3706,362.7,Olgiate Molgora,San Zeno,3.202,0.71,S_SAN_ZENO,1718.4,21.48,21.58
CELL_00202,45.7154,9.3719,359.8,Olgiate Molgora,San Zeno,3.381,0.75,S_SAN_ZENO,1639.1,20.49,20.72
CELL_00203,45.7154,9.3732,362.0,Olgiate Molgora,San Zeno,3.859,0.86,S_SAN_ZENO,1566.1,19.58,19.71
CELL_00204,45.7154,9.3745,358.9,Olgiate Molgora,San Zeno,4.406,0.98,S_SAN_ZENO,1500.1,18.75,19.02
CELL_00205,45.7154,9.3758,366.7,Olgiate Molgora,San Zeno,4.783,1.06,S_SAN_ZENO,1442.1,18.03,17.95
CELL_00206,45.7154,9.3771,360.8,Olgiate Molgora,San Zeno,5.198,1.16,S_SAN_ZENO,1393.3,17.42,17.6
CELL_00207,45.7154,9.3784,362.5,Olgiate Molgora,San Zeno,5.711,1.27,S_SAN_ZENO,1354.4,16.93,17.04
CELL_00208,45.7154,9.3797,365.9,Olgiate Molgora,San Zeno,5.717,1.27,S_SAN_ZENO,1326.5,16.58,16.54
CELL_00209,45.7154,9.381,358.7,Olgiate Molgora,San Zeno,6.0,1.33,S_SAN_ZENO,1310.2,16.38,16.66
CELL_00210,45.7154,9.3823,363.4,Olgiate Molgora,San Zeno,5.895,1.31,S_SAN_ZENO,1306.0,16.33,16.4
CELL_00211,45.7154,9.3836,358.0,Olgiate Molgora,San Zeno,5.841,1.3,S_SAN_ZENO,1314.0,16.42,16.73
CELL_00212,45.7154,9.3849,361.7,Olgiate Molgora,San Zeno,5.707,1.27,S_SAN_ZENO,1333.9,16.67,16.82
CELL_00213,45.7154,9.3862,367.2,Olgiate Molgora,San Zeno,5.305,1.18,S_SAN_ZENO,1365.2,17.07,16.97
CELL_00214,45.7154,9.3875,362.3,Olgiate Molgora,San Zeno,4.914,1.09,S_SAN_ZENO,1407.3,17.59,17.71
CELL_00215,45.7154,9.3888,364.8,Olgiate Molgora,San Zeno,4.755,1.06,S_SAN_ZENO,1459.0,18.24,18.25
CELL_00216,45.7154,9.3901,371.5,Olgiate Molgora,San Zeno,4.027,0.9,S_SAN_ZENO,1519.6,18.99,18.71
CELL_00217,45.7154,9.3914,367.3,Olgiate Molgora,San Zeno,3.825,0.85,S_SAN_ZENO,1587.8,19.85,19.75
CELL_00218,45.7154,9.3927,366.3,Olgiate Molgora,San Zeno,3.342,0.74,S_SAN_ZENO,1662.9,20.79,20.73
CELL_00219,45.7154,9.394,360.3,Olgiate Molgora,San Zeno,3.125,0.7,S_SAN_ZENO,1743.9,21.8,22.01
CELL_00220,45.7154,9.4044,273.6,Calco,Calco Centro,15.574,3.01,S_CALCO_CHIESA,1618.2,20.23,20.87
CELL_00221,45.7154,9.4057,279.1,Calco,Calco Centro,17.139,3.31,S_CALCO_CHIESA,1542.5,19.28,19.67
CELL_00222,45.7154,9.407,275.6,Calco,Calco Centro,18.71,3.61,S_CALCO_CHIESA,1473.8,18.42,18.97
CELL_00223,45.7154,9.4083,278.9,Calco,Calco Centro,19.592,3.79,S_CALCO_CHIESA,1413.1,17.66,18.07
CELL_00224,45.7154,9.4096,284.7,Calco,Calco Centro,20.832,4.02,S_CALCO_CHIESA,1361.4,17.02,17.16
CELL_00225,45.7154,9.4109,275.3,Calco,Calco Centro,21.331,4.12,S_CALCO_CHIESA,1319.7,16.5,17.06
