source_operator,route,source_kind,source_validity,source_stop_name,municipality_assessment,v3_candidate_cluster,assessment,evidence_note,source_url
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Vaccarezza - Cartello Paese`,Brivio,EX_004,LIKELY_EXISTING_ALIAS_REVIEW,"Likely related to V3 Brivio - vaccarezza; confirm side/stop code.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Brivio - Bar Cristallo`,Brivio,,POTENTIAL_MISSING_CLUSTER,"No obvious V3 physical cluster with this official stop name.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Brivio - Via Como - Pensilina`,Brivio,EX_010,LIKELY_EXISTING_ALIAS_REVIEW,"V3 has Brivio - via como (pizzeria). Current bridge-closure notice also distinguishes the two physical sides of the ASF stop.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_TIMETABLE,09/06/2026-13/09/2026,`Santa Maria Hoè - Via Como`,Santa Maria Hoè,EX_032,LIKELY_EXISTING_ALIAS_REVIEW,"Current ASF timetable explicitly serves this stop. V3 has S.Maria Hoe' - alpino; Arriva D184 calls the location Alpino Via Como.",https://www.asfautolinee.it/orari-in-pdf/
Arriva Italia,D184,OFFICIAL_TIMETABLE,14/09/2026-08/06/2027,`S. MARIA HOE' centro`,Santa Maria Hoè,EX_006,LIKELY_EXISTING_ALIAS_REVIEW,"V3 uses S.Maria Hoe' - paese. Preserve as alias review until stop coordinates/codes prove identity.",https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf
Arriva Italia,D184,OFFICIAL_TIMETABLE,14/09/2026-08/06/2027,`S. MARIA HOE' Alpino Via Como`,Santa Maria Hoè,EX_032,EXISTING_CLUSTER_CORROBORATED,"Official future timetable confirms the physical stop represented by the V3 Alpino cluster.",https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf
Arriva Italia,D184,OFFICIAL_TIMETABLE,14/09/2026-08/06/2027,`S.MARIA HOE' Alduno`,Santa Maria Hoè,EX_026,EXISTING_CLUSTER_CORROBORATED,"Official future timetable confirms the physical stop represented by the V3 Alduno cluster; note naming conflict with ASF schema.",https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf
Arriva Italia,D148,OFFICIAL_TIMETABLE,14/09/2026-08/06/2027,`S. MARIA HOE' Tre Strade`,Santa Maria Hoè,,POTENTIAL_MISSING_OR_ALIAS_CLUSTER,"Published 2026/27 timetable contains this stop. No exact V3 cluster name; coordinate/stop-code conflation required.",https://arriva.it/app/uploads/sites/7/2026/08/D148-S.Maria-Hoe-Airuno-Besana-inv27.pdf
Arriva Italia,D148,OFFICIAL_TIMETABLE,14/09/2026-08/06/2027,`CALCO Località Cornello`,Calco,,POTENTIAL_MISSING_OR_ALIAS_CLUSTER,"Published 2026/27 timetable contains this stop. No exact V3 cluster name; coordinate/stop-code conflation required.",https://arriva.it/app/uploads/sites/7/2026/08/D148-S.Maria-Hoe-Airuno-Besana-inv27.pdf
Arriva Italia,D148,OFFICIAL_TIMETABLE,14/09/2026-08/06/2027,`CALCO Largo Pomeo (gelateria)`,Calco,,POTENTIAL_MISSING_CLUSTER,"Independent official Arriva evidence corroborates ASF Largo Pomea/Pomeo as a real stop missing from the obvious V3 cluster names.",https://arriva.it/app/uploads/sites/7/2026/08/D148-S.Maria-Hoe-Airuno-Besana-inv27.pdf
Secondary aggregator,C146,SECONDARY_CURRENT_SERVICE,UPDATED_2026-08-31,`S. Maria Hoè - Via Giovanni XXIII`,Santa Maria Hoè,,SECONDARY_REVIEW_REQUIRED,"Current aggregator lists this as a C146 stop, but it is not in the main ASF line schema. Verify against ASF stop database / stop code before FACT promotion.",https://moovitapp.com/index/it/mezzi_pubblici-line-c146-Milano_e_Lombardia-223-3758539-300934180-9
Secondary aggregator,C146,SECONDARY_CURRENT_SERVICE,UPDATED_2026-08-31,`S. Maria Hoè - Paese`,Santa Maria Hoè,EX_006,SECONDARY_ALIAS_REVIEW,"Current aggregator lists C146 service here; verify in ASF primary stop database before adding route attribution.",https://moovitapp.com/index/it/mezzi_pubblici-line-c146-Milano_e_Lombardia-223-3758539-300934180-9
Secondary aggregator,C146,SECONDARY_CURRENT_SERVICE,UPDATED_2026-08-31,`Olgiate Molgora - Via Della Salute`,Olgiate Molgora,,SECONDARY_REVIEW_REQUIRED,"Current aggregator lists this as a C146 stop 8 m from Via Statale. Could be opposite-side/alias rather than a distinct physical cluster. Primary verification required.",https://moovitapp.com/index/it/mezzi_pubblici-Olgiate_Molgora_Via_Statale-Milano_e_Lombardia-stop_46525585-223
